                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.25737,                0.20768,                0.87474,                0.59802,                0.38881,                0.42028,                0.13453,                 2.5375,                 2.1858,                 2.9095,               0.007756,               0.007756,               0.007756
                     36,                0.26016,                0.20932,                0.88073,                0.53314,                0.36377,                0.30116,                0.11295,                 2.4623,                 2.7359,                 2.6386,                0.00769,                0.00769,                0.00769
                     37,                  0.261,                0.20918,                0.87987,                0.49236,                0.26951,                0.30297,                0.07711,                 2.8595,                 2.9328,                 3.4509,               0.007624,               0.007624,               0.007624
                     38,                0.25657,                0.20485,                0.87655,                0.57418,                0.33579,                0.37563,                0.11107,                 2.7368,                 2.3713,                  3.029,               0.007558,               0.007558,               0.007558
                     39,                0.25481,                0.20517,                0.87788,                0.43945,                0.30597,                0.28889,                0.06701,                 2.9442,                 2.6695,                 3.8437,               0.007492,               0.007492,               0.007492
                     40,                0.25569,                0.20457,                0.87758,                0.42763,                0.38733,                0.35589,                0.10003,                 2.6566,                 2.5565,                 3.2329,               0.007426,               0.007426,               0.007426
                     41,                0.25393,                0.20317,                 0.8728,                 0.7086,                 0.2489,                0.29318,                 0.0665,                 3.1477,                 3.4396,                 3.9734,                0.00736,                0.00736,                0.00736
                     42,                0.25597,                0.20486,                0.87352,                0.54994,                0.35199,                 0.3893,                0.12266,                 2.7681,                  2.832,                 3.2591,               0.007294,               0.007294,               0.007294
                     43,                0.25432,                0.20157,                0.87386,                0.61458,                 0.3947,                0.40103,                0.17603,                 2.4874,                 2.3245,                 2.7824,               0.007228,               0.007228,               0.007228
                     44,                0.25607,                0.20428,                0.87324,                0.49656,                0.36819,                0.37171,                0.13047,                 2.5947,                 2.6105,                 2.8747,               0.007162,               0.007162,               0.007162
                     45,                 0.2558,                0.21303,                0.87644,                0.56401,                0.32769,                0.36823,                0.11018,                  2.679,                  2.808,                 3.2962,               0.007096,               0.007096,               0.007096
                     46,                0.25154,                0.20012,                0.87221,                0.47115,                0.38439,                0.35909,                0.12399,                 2.6526,                 2.6469,                  3.347,                0.00703,                0.00703,                0.00703
                     47,                0.24602,                0.19956,                0.87438,                0.53698,                0.44919,                0.40955,                0.15866,                 2.5471,                 2.0191,                  2.931,               0.006964,               0.006964,               0.006964
                     48,                0.24973,                0.20368,                0.87256,                0.49378,                0.39617,                 0.3465,                0.12658,                 2.5302,                 2.5281,                 3.0502,               0.006898,               0.006898,               0.006898
                     49,                0.24967,                 0.2008,                0.87789,                0.49199,                0.28669,                0.28296,                 0.0905,                 2.7964,                 2.5324,                 3.2398,               0.006832,               0.006832,               0.006832
                     50,                0.24372,                0.19454,                0.86973,                0.59652,                0.30044,                0.33464,                0.08886,                 2.7378,                 2.8695,                 3.0569,               0.006766,               0.006766,               0.006766
                     51,                0.24239,                0.19666,                0.87188,                0.65807,                 0.2975,                0.34148,                0.10784,                 2.8588,                 2.6895,                 3.5828,                 0.0067,                 0.0067,                 0.0067
                     52,                0.24092,                0.19265,                 0.8718,                0.48064,                0.37997,                0.36372,                0.11298,                 2.7448,                 2.2314,                 3.3338,               0.006634,               0.006634,               0.006634
                     53,                0.24551,                 0.1962,                 0.8716,                0.47032,                0.34021,                0.32696,                0.08895,                 2.6657,                 2.5091,                 3.0877,               0.006568,               0.006568,               0.006568
                     54,                0.24148,                0.19662,                0.87142,                0.52032,                0.37555,                0.34542,                0.08183,                 2.7928,                 2.5975,                 3.2839,               0.006502,               0.006502,               0.006502
                     55,                 0.2415,                0.19534,                0.87143,                0.49233,                0.35788,                 0.3321,                0.08591,                 2.8025,                 2.8548,                 3.4516,               0.006436,               0.006436,               0.006436
                     56,                 0.2392,                 0.1902,                0.86857,                0.61215,                 0.3785,                0.39867,                0.12361,                 2.6632,                 2.5522,                 3.1356,                0.00637,                0.00637,                0.00637
                     57,                0.23745,                0.19031,                0.87075,                0.67742,                0.31959,                0.38824,                0.10755,                 2.7904,                 3.0232,                 3.1739,               0.006304,               0.006304,               0.006304
                     58,                0.23505,                0.18962,                0.86535,                0.65834,                 0.2975,                0.37135,                0.13301,                 2.6806,                 2.7526,                 2.9955,               0.006238,               0.006238,               0.006238
                     59,                0.23857,                0.18982,                0.86923,                 0.5223,                0.38001,                0.39414,                0.12715,                 2.6753,                 2.4576,                 3.2536,               0.006172,               0.006172,               0.006172
                     60,                0.23755,                0.19124,                0.86939,                0.55322,                0.34757,                0.36151,                0.10648,                 2.8367,                 2.5305,                 3.3098,               0.006106,               0.006106,               0.006106
                     61,                0.23787,                0.18932,                0.86655,                 0.6042,                0.36672,                0.38821,                0.13297,                 2.6915,                 2.4348,                 2.9741,                0.00604,                0.00604,                0.00604
                     62,                0.23657,                0.19127,                0.86599,                0.51011,                0.36672,                0.36419,                0.15082,                 2.5048,                 2.5202,                 2.7528,               0.005974,               0.005974,               0.005974
                     63,                0.23807,                0.18842,                0.86553,                 0.4605,                0.35493,                0.37791,                0.13922,                 2.7289,                 2.5697,                 3.1808,               0.005908,               0.005908,               0.005908
                     64,                0.23455,                0.18723,                0.86853,                0.50097,                0.38144,                0.36341,                0.11008,                 2.7477,                 2.6354,                 3.1122,               0.005842,               0.005842,               0.005842
                     65,                0.22661,                0.18699,                0.86624,                0.66088,                0.34315,                0.41954,                0.15196,                 2.6694,                  2.193,                 3.1803,               0.005776,               0.005776,               0.005776
