                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.34025,                 0.2769,                0.91491,                0.42191,                0.30204,                0.26689,                0.06119,                  2.805,                 2.7408,                 3.4737,               0.008317,               0.008317,               0.008317
                     36,                0.34369,                0.28425,                0.92128,                0.49009,                0.29897,                0.33584,                0.08001,                 2.6933,                 2.3633,                 3.1618,              0.0082675,              0.0082675,              0.0082675
                     37,                0.34654,                0.28158,                0.91998,                0.50701,                0.31664,                0.34003,                0.07706,                 2.7363,                 2.7928,                  3.459,               0.008218,               0.008218,               0.008218
                     38,                0.33851,                0.27547,                0.91581,                0.63226,                0.28613,                0.32264,                0.08549,                 3.0477,                 2.5772,                 3.5302,              0.0081685,              0.0081685,              0.0081685
                     39,                0.33621,                0.27873,                0.91976,                0.44101,                0.35052,                0.34847,                0.09992,                  2.773,                  2.411,                 3.3692,               0.008119,               0.008119,               0.008119
                     40,                0.33493,                0.27777,                0.91904,                0.49787,                0.34021,                0.35605,                0.10221,                 2.7925,                 2.5116,                 3.3681,              0.0080695,              0.0080695,              0.0080695
                     41,                0.33163,                0.27258,                 0.9105,                0.66254,                0.25626,                0.30379,                0.07287,                 2.8542,                 2.6994,                 3.4123,                0.00802,                0.00802,                0.00802
                     42,                 0.3364,                0.27279,                0.91489,                0.39511,                0.23859,                0.21293,                0.04796,                 2.8143,                 3.4901,                 3.3261,              0.0079705,              0.0079705,              0.0079705
                     43,                0.32871,                0.26592,                0.91103,                0.48494,                 0.3137,                0.30603,                0.08152,                 2.6606,                 2.7226,                 3.0636,               0.007921,               0.007921,               0.007921
                     44,                0.32769,                0.26673,                0.91235,                0.53538,                0.35052,                0.38431,                0.10982,                 2.5402,                 2.3583,                 2.9643,              0.0078715,              0.0078715,              0.0078715
                     45,                0.32974,                0.27331,                0.91497,                0.49946,                0.32478,                0.35332,                0.09475,                 2.6495,                 2.2858,                 3.2066,               0.007822,               0.007822,               0.007822
                     46,                0.32228,                0.26331,                0.90684,                0.47544,                0.35052,                  0.373,                0.12703,                 2.7169,                 2.2383,                 3.2595,              0.0077725,              0.0077725,              0.0077725
                     47,                0.31956,                0.25772,                0.90904,                0.64647,                0.40648,                0.44726,                0.12828,                 2.5999,                 2.2338,                 3.2515,               0.007723,               0.007723,               0.007723
                     48,                0.31608,                0.26034,                0.90589,                0.51169,                  0.321,                0.32399,                 0.0813,                 2.6617,                 2.2493,                 3.4396,              0.0076735,              0.0076735,              0.0076735
                     49,                0.31421,                0.25919,                0.90977,                 0.5382,                0.35935,                0.37636,                0.11328,                 2.6898,                 2.1396,                 3.2641,               0.007624,               0.007624,               0.007624
                     50,                0.31108,                0.25311,                0.90633,                0.69931,                0.36524,                0.42996,                0.14773,                 2.4903,                 2.2245,                 2.7573,              0.0075745,              0.0075745,              0.0075745
                     51,                0.31024,                 0.2523,                0.90807,                0.48157,                0.34757,                0.32361,                0.09252,                 2.7626,                 2.5589,                 3.2242,               0.007525,               0.007525,               0.007525
                     52,                0.30784,                0.25133,                 0.9069,                0.42043,                0.29897,                0.24047,                0.05826,                 2.8586,                  2.976,                 3.4843,              0.0074755,              0.0074755,              0.0074755
                     53,                0.31051,                0.25456,                 0.9058,                0.46822,                0.24595,                0.23122,                0.06373,                 2.6759,                  2.917,                 3.1652,               0.007426,               0.007426,               0.007426
                     54,                0.30712,                0.25435,                0.90332,                0.66897,                0.26068,                0.29358,                0.07918,                 2.9838,                 2.6565,                 3.6942,              0.0073765,              0.0073765,              0.0073765
                     55,                0.30519,                0.25487,                0.90272,                0.60561,                0.32339,                0.38865,                0.11499,                 2.5772,                 2.2027,                      3,               0.007327,               0.007327,               0.007327
                     56,                  0.303,                0.24693,                0.89941,                0.50267,                 0.3785,                0.40114,                 0.1052,                 2.6608,                 1.9535,                 3.3769,              0.0072775,              0.0072775,              0.0072775
                     57,                0.29929,                0.24531,                0.90051,                 0.6793,                0.30191,                0.37085,                0.10326,                 2.7262,                 2.3699,                 3.3238,               0.007228,               0.007228,               0.007228
