                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                0.20904,                0.16576,                0.85968,                0.65753,                 0.3623,                0.40492,                0.12393,                 2.7318,                 2.5585,                 3.3612,              0.0026245,              0.0026245,              0.0026245
                    151,                0.21358,                  0.172,                 0.8595,                0.53334,                0.39892,                0.38452,                0.12573,                 2.6533,                 2.4233,                 3.1688,               0.002575,               0.002575,               0.002575
                    152,                0.21068,                0.16967,                0.86102,                0.57911,                0.41532,                0.43353,                0.14982,                  2.513,                 2.2453,                 3.1447,              0.0025255,              0.0025255,              0.0025255
                    153,                0.20841,                0.16367,                0.85952,                0.59851,                0.39958,                 0.4294,                0.15276,                 2.4847,                 2.2434,                 3.1209,               0.002476,               0.002476,               0.002476
                    154,                0.20736,                 0.1652,                0.85688,                0.61117,                0.40648,                 0.4231,                0.13315,                 2.6242,                 2.4266,                  3.348,              0.0024265,              0.0024265,              0.0024265
                    155,                0.20871,                0.16202,                0.85508,                0.56624,                 0.3623,                0.38254,                0.11932,                 2.7308,                 2.5595,                 3.4338,               0.002377,               0.002377,               0.002377
                    156,                0.20624,                 0.1616,                0.85628,                0.56563,                0.35052,                 0.3974,                0.13316,                 2.7258,                 2.4807,                 3.4159,              0.0023275,              0.0023275,              0.0023275
                    157,                0.20839,                0.16139,                0.85491,                0.62621,                 0.3137,                0.38472,                0.13025,                 2.6454,                 2.4921,                 3.3218,               0.002278,               0.002278,               0.002278
                    158,                0.20295,                0.15962,                0.85724,                0.56119,                0.39365,                0.42726,                 0.1502,                 2.5621,                 2.3281,                 3.0907,              0.0022285,              0.0022285,              0.0022285
                    159,                0.20452,                0.15921,                0.85803,                0.55747,                0.39617,                0.42032,                0.14716,                 2.5947,                 2.3857,                 3.1302,               0.002179,               0.002179,               0.002179
                    160,                0.20626,                  0.163,                0.85969,                0.57466,                0.38586,                0.42183,                0.14532,                 2.6682,                 2.3701,                 3.2559,              0.0021295,              0.0021295,              0.0021295
                    161,                0.19836,                0.15934,                0.85213,                0.56014,                0.39323,                0.41502,                0.13612,                 2.7242,                 2.3672,                 3.4252,                0.00208,                0.00208,                0.00208
                    162,                0.20083,                0.15677,                0.85336,                0.50715,                0.37997,                0.37669,                0.11225,                 2.7701,                 2.5503,                 3.5633,              0.0020305,              0.0020305,              0.0020305
                    163,                0.20163,                0.15854,                0.85885,                  0.564,                 0.3947,                0.41145,                0.12639,                 2.6843,                 2.4463,                 3.3591,               0.001981,               0.001981,               0.001981
                    164,                0.20272,                0.15899,                0.85638,                0.60273,                0.37703,                0.39455,                0.12982,                 2.7139,                  2.507,                 3.3825,              0.0019315,              0.0019315,              0.0019315
                    165,                0.19711,                0.15666,                0.85422,                0.64422,                0.43202,                0.45532,                0.15602,                 2.5486,                 2.3514,                 3.1153,               0.001882,               0.001882,               0.001882
                    166,                0.19772,                0.15614,                0.85452,                0.65893,                0.40648,                0.43678,                0.13812,                 2.6362,                 2.3748,                  3.182,              0.0018325,              0.0018325,              0.0018325
                    167,                0.19485,                0.15278,                0.85223,                0.62758,                0.40059,                0.41931,                0.13605,                 2.6991,                 2.3712,                 3.2905,               0.001783,               0.001783,               0.001783
