                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.22016,                0.17516,                0.86746,                 0.6202,                0.44919,                0.45551,                0.16039,                  2.628,                 2.0748,                 3.1221,               0.070227,              0.0033081,              0.0033081
                      1,                0.23678,                 0.1898,                0.87256,                0.59731,                0.44477,                0.44755,                0.14555,                 2.6302,                 2.1061,                 3.1244,               0.040183,              0.0065976,              0.0065976
                      2,                0.26245,                0.20745,                0.87767,                0.54164,                0.33937,                0.34202,                0.14704,                 2.4919,                 2.8598,                 2.8933,               0.010096,              0.0098431,              0.0098431
